review_text,sentiments
I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,1
quality is pooverREAD MORE,0
good productREAD MORE,1
Good product.....READ MORE,1
Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,1
"After using, found shuttles quality are not upto the level. This box has not 3d quality sticker.READ MORE",0
Local productREAD MORE,0
Few of shuttle just separated from base in just a single shot. Very poor qualityREAD MORE,0
shuttle is over rotatingREAD MORE,0
Very bad quality.READ MORE,0
Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,0
Not expecting this kind of products from flipkart.READ MORE,1
No one better shuttles in the market.good quality and reasonable price.READ MORE,1
low qualityREAD MORE,0
Superb quality... And best price.. Thanks to flipkart..!READ MORE,1
second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,0
I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,1
Very bad quality this timeREAD MORE,0
"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",0
"Quality is not good, rejected qualityREAD MORE",0
This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,1
Really Nice productQuick delivery Thanks filpkartREAD MORE,1
Very nice shuttleREAD MORE,1
Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,0
Quality very low. Not orginalREAD MORE,0
WorstREAD MORE,0
Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,1
Dont but it.... worst productREAD MORE,1
Low quality very bad quality 😡READ MORE,0
"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",1
Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,1
Not genuine productREAD MORE,0
Waste productREAD MORE,0
I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,0
Very High PriceREAD MORE,0
"Bad bad , compare to ah year back coming mavis 350READ MORE",0
"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",1
Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,0
All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,1
3rd class quality  I want Returns but time is overREAD MORE,1
Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,0
Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,1
Very bad quality 👎READ MORE,0
Not expected qualityREAD MORE,0
Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,0
not durable. very poor qualityREAD MORE,0
but price is littel bit highREAD MORE,0
GoodREAD MORE,0
NiceREAD MORE,0
not the required one.READ MORE,0
This product is not original.please avoid online purchase.READ MORE,0
One shuttle was damaged and vobling..let me know what to doREAD MORE,0
Good quality productREAD MORE,1
Good shuttle and  classic productREAD MORE,1
got defective piecesREAD MORE,0
"bad packing, unsatisfiedREAD MORE",0
Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,1
good quality..  nice product..  thanks fpr fast deliveryREAD MORE,1
Nice cockeREAD MORE,1
Good qualityREAD MORE,1
Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,0
it's awsm 😎READ MORE,0
reasonable priceREAD MORE,0
"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",1
One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,1
"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",1
Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,1
"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",1
"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",1
"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",1
"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",1
"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",1
very good product n durable but not good enough speed slows down little in mid airREAD MORE,1
The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,1
Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,1
Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,1
"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",1
"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",1
Cost is too high I hate the productREAD MORE,0
Very poor quality...inconsistent speed...poor flightREAD MORE,0
Yonex is always best in quality....READ MORE,1
worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,0
"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",1
I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,1
Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,1
checked at Sunrisetnt.com . found genuineREAD MORE,0
Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,0
AverageREAD MORE,0
"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",1
Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,1
"Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",0
Best shuttle available online no more discription needed.READ MORE,1
long lasting product.....nice product....READ MORE,0
best shuttleREAD MORE,1
🏸Good Quality... 🏸READ MORE,1
Fabulous itemREAD MORE,1
Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,1
Feels the quality is far less compared to previous set which was brought from other platform. 1 Shuttle is breaking or wobbling per 1 hr game session.. Feeling cheated..READ MORE,1
This is the original mavis 350READ MORE,1
Bad quality and poor quality while playing the ahuttles caps or looseREAD MORE,0
Two shuttles were durable out of 6..READ MORE,0
Poor quality. It was horrible. I didn't play two games with each shuttleREAD MORE,0
Worst product. Every ball in this box got flat within one or two strokes. The disappointed fact is Flipkart is not accepting the replacement because of open box delivery. Without using the product how could I know the quality?READ MORE,0
Best oneREAD MORE,1
Excellent product👌READ MORE,1
Very Bad Quality in filpkartREAD MORE,0
Delicate productREAD MORE,1
Bad qualityREAD MORE,0
Don't have good qualityREAD MORE,0
Quality of 2 shuttles not as per Mavis 350 standards.READ MORE,0
It's is good product and the service was very goodREAD MORE,1
2nd qualityREAD MORE,0
Local productREAD MORE,0
Very old stock.. not lasts to even 5 gamesREAD MORE,0
All shuttles are not good in view of balance.READ MORE,1
OkREAD MORE,0
Nice product all suttles are good 🥰🥰READ MORE,1
Nice productREAD MORE,1
Old one onlyREAD MORE,0
Super ballREAD MORE,1
According to cost it's average lifeREAD MORE,0
So worstREAD MORE,0
👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,0
Quality not good              It was broken after 2 matchREAD MORE,0
Nice product but damage in 1 daysREAD MORE,0
Not good at all this is the worst product I have bought at flipkartREAD MORE,0
Low quality. Not durabalityREAD MORE,0
BadlyREAD MORE,0
Very bad qualityREAD MORE,0
Very bad product a word to describe I write duplicate productREAD MORE,0
This time quality very very worstREAD MORE,0
Poor quality ☹️READ MORE,0
Very  low bad quality product Flipkart is fooling everyoneREAD MORE,0
"This shuttles were duplicates, these were not up to the mark.READ MORE",0
Very bad product I ever receivedREAD MORE,0
Bad copy quality riceveREAD MORE,0
Waste of moneyREAD MORE,0
Quality is very bad and very very tired class shuttecockREAD MORE,0
WorstREAD MORE,0
So poor qualityREAD MORE,0
Reate is wery to muchREAD MORE,0
The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,0
not upto mark cork getting cracksREAD MORE,0
Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,0
"Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",0
Very goodREAD MORE,0
Good quality of shuttlesREAD MORE,1
"I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",1
Bad productedREAD MORE,0
Good productREAD MORE,1
Received counterfeit product.READ MORE,0
If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,1
Good productREAD MORE,1
One day 1cap gaanREAD MORE,0
GoodREAD MORE,0
Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,1
Good qualityREAD MORE,1
Very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850READ MORE,0
BestREAD MORE,0
I play every day with this and we play really hard in Courts. This has always been a best choice.READ MORE,1
This item is so good you can buy it it is originalREAD MORE,1
Excellent for Indoor courtREAD MORE,1
Genuine product. Nice packing.READ MORE,1
Good quality..😍🖤READ MORE,1
Nice thanks  FlipkartREAD MORE,1
Nice productREAD MORE,1
"Gradual decrease in quality, less longevity.READ MORE",0
Nice productREAD MORE,1
wow productREAD MORE,1
1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.READ MORE,0
Product is not same as shown in the picture.READ MORE,0
just Average.... not 100% goodREAD MORE,0
"I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.READ MORE",1
Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.READ MORE,0
I found that some of the shuttle are differentREAD MORE,0
shuttle was not of genuine conectarte qualityREAD MORE,0
poor qualityREAD MORE,0
2 balls are waste. they are rotate. unable to play.READ MORE,0
very poor quality.... 1 shuttle in not standing more than 2 daysREAD MORE,0
original productREAD MORE,1
Shuttle not goodREAD MORE,0
good as expectedREAD MORE,1
goodREAD MORE,0
Yonex Mavis 350 is not a pure item. shuttle's are so oldREAD MORE,0
"Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀READ MORE",1
Good👍READ MORE,0
very niceREAD MORE,0
niceREAD MORE,0
nice shuttle for outdoorREAD MORE,1
good productREAD MORE,1
amazing cost and amazing oneREAD MORE,1
The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttlesREAD MORE,1
good dilevary and very good productREAD MORE,1
it's worthREAD MORE,0
GoodREAD MORE,0
Looks like these are fake shuttles & not sold by yonex.READ MORE,0
worst product not to buy low qualityREAD MORE,0
shuttles were shapeless as they may have been mishandelrd while in transportationREAD MORE,0
product is not goodREAD MORE,0
"5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.READ MORE",0
bad qualityREAD MORE,0
Very good productREAD MORE,1
best quality shuttlesREAD MORE,1
good quality. value the moneyREAD MORE,1
very goodREAD MORE,0
Very worstREAD MORE,0
NOT BAD....READ MORE,0
shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.READ MORE,1
"Bad Quality,,,,,,READ MORE",0
Quality is not good. Little bit fast.READ MORE,1
Excellent it's original as I buy in local sports storesREAD MORE,1
"Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 dayREAD MORE",0
The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.READ MORE,0
Nice product best price superREAD MORE,1
If you are a professional player and played in Mavis 350 green colour then don't go for this product as this is lighter and slower than the green one. If you are a new buyer then you can go ahead and buy it as it doesn't matter. The speed is slower than the green Mavis 350READ MORE,1
Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍READ MORE,1
It's not suitable for outdoorREAD MORE,0
It seems it is not original. Lighter and not lasting for more than an hour of play.READ MORE,1
Horrible shuttle I ever playREAD MORE,0
"Finally got orginal yonex mavis 350.Genuine piece.There are so many fakes avilable in market.so serious players buy from here, you wont regret.READ MORE",0
One shuttle lasts hardly 5 days which is very less. So I would suggest to the makers to keep in mind this thing before manufacturing. Price is also very high. Make it either durable or cheap for user friendly.READ MORE,0
"Item received in excellent condition, that too within one day. Thanks to the team. However one suggestion, please don't send the item in such a big cardboard box. Its actually a wastage of resources.READ MORE",1
Used both the boxes... People who say they are fake have either never played with mavis 350 or may have received a damaged box that might have disturbed the flight of the shuttle.... For me who plays with mavis 350 day in and day out... It is absolutely original and being speed 75...it plays well in Delhi heat above 35 degrees.... Will order moreREAD MORE,0
"Product is good as like as bought in the open market. Price also is equal to open market. It would be good in on line, if price is less.READ MORE",1
nice itemsREAD MORE,1
Thank you flipkart for providing such a great product with good quality and great deal.READ MORE,1
shutte is durable(lasts long) with good flight time ...much better than what I purchased at local store. also with offer it is cheaperREAD MORE,1
I love it.....It is really very guudAs well as it has a fantastic delivery It's so early alsoREAD MORE,1
it's really good shuttle.  if you  want to improve your game it's best and also durable . it's flight is good and weight balance is superb.  it's best for amateur  levelREAD MORE,1
Not convinced with the quality of product.READ MORE,1
"There is no option to put images in the review section , the shuttles delivered were all used ones and not even Mavis 350 , The seller must be totally  unprofessional  , a basic check of a seal should be taken care by Flipkart atleastREAD MORE",0
okREAD MORE,0
Value for MoneyREAD MORE,1
Excellent product but cost is higherREAD MORE,1
one Shuttle just broken in 4 days by a smashREAD MORE,0
"Shuttle is very poor,Guys dont purchase,flipkhart check with supplier,other very big impact other sales alsoREAD MORE",0
"nice shuttle , The Flight is correct, and good durability.READ MORE",1
Ball best but local rate are highREAD MORE,1
"Good, but flipcart price is too high. From the market we get it only 110 rs per peaceREAD MORE",1
"Good, slow type cork, we r using it for daily game, one cork lasts for 3 daysREAD MORE",1
Best shuttlecock ever.... we play everyday for abt 4 hours continusly.... and we still use 1 shuttlecock for about 8 to 10 days... it's very durable.. and has got really good flight... Yonex rocks.... 👍READ MORE,1
Very worst rateREAD MORE,0
shuttle has long life and light.READ MORE,0
Worst product.Dont go for it.It will not stand for an hour playREAD MORE,0
You are fleecing customers by tagging wrong MRP.READ MORE,0
Better for beginnersREAD MORE,1
"shuttle not Good ,even  1 match it will come,think twice before purchaseREAD MORE",1
Its okkREAD MORE,0
1st time order quantity is good but next time quality is very poor . Shuttle not looking same also .READ MORE,0
Nice product for practiceREAD MORE,1
ExcellentREAD MORE,0
Good oneREAD MORE,1
NiceREAD MORE,0
GoodREAD MORE,0
It is good .READ MORE,1
Original product with great discountREAD MORE,1
Good productREAD MORE,1
"Absolutely good quality shuttles,and great packing by the team.READ MORE",1
Product  is  good  but  price  is  increased  Retailer  price  is  620 .READ MORE,1
"Dear Retailnet, this is the second order, second order  was ifferent to first one. this one the packing look different and the quality was nice.thanks happy with the second orderREAD MORE",1
"Best cicks,but price was very highest please think itREAD MORE",1
Poor product...READ MORE,0
Poor qualityREAD MORE,0
Value for moneyREAD MORE,1
Not badREAD MORE,0
BestREAD MORE,0
Not so good.READ MORE,0
Quality not good and rotate the cork new oneREAD MORE,1
Very worst productREAD MORE,0
Best qualityREAD MORE,1
One roll of corks Only two piece of cork is goodBut other four corks is waste after one match corks rolling So don't buy this productREAD MORE,0
"Bad product. Out of 6, one or two number shuttle were good. All others are getting damaged in one matchREAD MORE",0
Bad quality .READ MORE,0
Nice product and packingREAD MORE,1
This seems to be duplicate...general shuttle can be used around 3 to 5 days..but this online purchased product cannot be used more than 1 day...you can feel the difference with the shuttle while playingREAD MORE,0
SuperREAD MORE,0
Best qualityREAD MORE,1
Going bad quickly. 1 to 2 days.READ MORE,0
"Extremely good,fully satisfied with its quality wishes to place repeat orderREAD MORE",1
Best shuttle corkREAD MORE,1
After playing 3to 4 matches cork gets rotate.  No longer used to play further games.READ MORE,1
Good quality productREAD MORE,1
Best for out gameREAD MORE,1
You. Should definitely buy thisREAD MORE,1
"Nice quality, genuine product and affordable priceREAD MORE",1
It is good for outdoor. Easy to spoil when it contact with water.READ MORE,1
Nice must buyREAD MORE,1
GoodREAD MORE,0
Good productREAD MORE,1
Nice oneREAD MORE,1
Excellent 👌READ MORE,1
Thanks FlipkartREAD MORE,1
Best oneREAD MORE,1
Very goodREAD MORE,0
OkREAD MORE,0
Very good productREAD MORE,1
Breaking in 1 hour game . Bad qualityREAD MORE,0
As expected... Nice..READ MORE,0
Superb..READ MORE,0
ExcellentREAD MORE,0
Good productsREAD MORE,1
NiceREAD MORE,0
Nice product and longlifeREAD MORE,1
Very goodREAD MORE,0
WorthyREAD MORE,0
Very nice product thank you Flipkart original Mavis 350 ....READ MORE,1
Nice product. .READ MORE,1
GoodREAD MORE,0
GoodREAD MORE,0
I received original product.READ MORE,1
"Very good shutles ,READ MORE",1
GoodREAD MORE,0
One ball play on one weekREAD MORE,1
Genuine productREAD MORE,0
Best products of whole yonex companyREAD MORE,1
Bad quality...READ MORE,0
Very niceREAD MORE,0
goodREAD MORE,0
The bottom quality is not up to the mark. The wooded cork breaks apart when directly hit by the frame.READ MORE,0
Okay okREAD MORE,1
GoodREAD MORE,0
OkREAD MORE,0
"It was a genuine product, received in perfect condition.READ MORE",1
GoodREAD MORE,0
Easily got damagedREAD MORE,1
Worst boxREAD MORE,0
GoodREAD MORE,0
On time delivery and quality was goodREAD MORE,0
Now a days getting bad quality.READ MORE,0
THIS SHTLES ARE VERY NICE AND ORIGNAL .ONE CAN BUY FROM THIS SITEREAD MORE,1
Nice 👍👍👍READ MORE,1
Some shuttle quality wise not good actually we need to hit the shuttle with more power even thought it won't.READ MORE,1
Very bad not goodREAD MORE,0
GoodREAD MORE,0
Very bad productREAD MORE,0
GoodREAD MORE,0
Very poor quality. Don't buy.READ MORE,0
It's goodREAD MORE,0
Nice... Cost was highREAD MORE,1
Product is good prices are highREAD MORE,1
NiceREAD MORE,0
GoodREAD MORE,0
Very good productREAD MORE,1
Quality not goodREAD MORE,0
Good.READ MORE,0
Very niceREAD MORE,0
goodREAD MORE,0
Very goodREAD MORE,0
FantasticREAD MORE,0
Full Balanced Shuttle Great Experience with FlipkartREAD MORE,1
OkayREAD MORE,0
GoodREAD MORE,0
shuttle are very smooth i like itREAD MORE,1
Very goodREAD MORE,0
350 best shuttle for intermediate players.READ MORE,1
NiceREAD MORE,0
Superb qualityREAD MORE,1
SuperREAD MORE,0
Very worestREAD MORE,0
ExcellentREAD MORE,0
Price is too highREAD MORE,0
Nice productREAD MORE,1
Best qualityREAD MORE,1
GoodREAD MORE,0
GoodREAD MORE,0
Good Quality and more discount. 👌👌READ MORE,1
Good product qualityREAD MORE,1
"This set of shuttle is very fine and long lastic , sustainable.READ MORE",1
Worth to buyREAD MORE,1
"Prodct is good, long lasting and powerfull.READ MORE",1
Reliable product with best serviceREAD MORE,1
Try to reduce the cost this productsREAD MORE,0
Great shuttleREAD MORE,1
Well conditionREAD MORE,1
Always good...READ MORE,0
"Product is good,but price costlyREAD MORE",0
Great shuttle best in allREAD MORE,1
SuperREAD MORE,0
It's nothing to say hate but it's fantastic....READ MORE,1
OkREAD MORE,0
GoodproductREAD MORE,0
Very goodREAD MORE,0
Valuable product 👍READ MORE,1
Quality not good...READ MORE,0
Very goodREAD MORE,0
Very niceREAD MORE,0
Best QualityREAD MORE,1
Good productREAD MORE,1
Nice shuttleREAD MORE,1
OkREAD MORE,0
ExcellentREAD MORE,0
Very goodREAD MORE,0
Durable and pretty smooth while controllingREAD MORE,1
GoodREAD MORE,0
GoodREAD MORE,0
Good oneREAD MORE,1
Very goodREAD MORE,0
GoodREAD MORE,0
Good quality productREAD MORE,1
"Nice,READ MORE",0
Good 😊READ MORE,1
Gud qualityREAD MORE,0
GoodREAD MORE,0
GoodREAD MORE,0
WorstREAD MORE,0
GoodREAD MORE,0
NiceREAD MORE,0
Good productREAD MORE,1
Worst product no qulityREAD MORE,0
GoodREAD MORE,0
"Awesome.,..got at such a price.....thank you so much flipkartREAD MORE",0
GoodREAD MORE,0
Very nice productsREAD MORE,1
As expected. Thank youREAD MORE,1
GoodREAD MORE,0
Using this product Mavis 350 for years . But this time very poor quality shuttles received..READ MORE,0
Very niceREAD MORE,0
Not good no variginalREAD MORE,1
Very good.. recommendedREAD MORE,1
The best yonexREAD MORE,1
Nice og productREAD MORE,1
NiceREAD MORE,0
Bad quality productREAD MORE,0
GoodREAD MORE,0
Worst products not buy online shop yonex mavis 350READ MORE,0
Supr 👍READ MORE,0
The shuttles are very nice. Nothing to complain aboutREAD MORE,1
NiceREAD MORE,0
There is no debate these are the best in the market but are always out of stockREAD MORE,1
It is excellent item. Good performanceREAD MORE,1
Very nice n original productREAD MORE,1
Very good shuttleREAD MORE,1
GoodREAD MORE,0
Good productREAD MORE,1
This is really nice as I use this for a long time and particularly from this seller - BPTLREAD MORE,1
GoodREAD MORE,0
Original productREAD MORE,1
Good priduct qualityREAD MORE,1
Good productREAD MORE,1
Not badREAD MORE,0
"Very worst product, each shuttle not lasting for a single matchREAD MORE",0
Very nice productREAD MORE,1
GoodREAD MORE,0
This price segment one of the best shuttle by Yonex I'm used this product last 4year experience best this segment ☺️READ MORE,1
"These are fake shuttles, and didn't even last a day, each shuttle was broken in the same manner, the bottom cork kept breaking without even damaging the skirt or without any notable wear and tear caused while playing.READ MORE",0
Super productREAD MORE,1
SuperREAD MORE,0
received original quality..durability is pretty good.. got original Mavis 350 ..thanksREAD MORE,1
Attrocious.  Product was not worth.  Please avoid selling such item to sustain in market.READ MORE,1
The product although satisfies it's quality.READ MORE,1
Good qualityREAD MORE,1
OkayREAD MORE,0
Durable productREAD MORE,0
Quality not adequateREAD MORE,0
Good onesREAD MORE,1
Nice shuttleREAD MORE,1
Best produce 100% genuineREAD MORE,1
GoodREAD MORE,0
"Mavis 350 shuttlecock is best but the product i received was not original. Maybe this is the fault of the supplier. We could play one or two games (basic, intermediate) using one shuttlecock but with the original shuttlecock we could play a 10 15 match. So be careful when you are buying.READ MORE",1
Very good productREAD MORE,1
"Worst quality, i never expected this from Flipkart.READ MORE",0
GoodREAD MORE,0
Genuine shuttles and hence trusted sellerREAD MORE,1
Very geniune product and more durable thanks for flipkartREAD MORE,1
Original shuttles ni doubtREAD MORE,1
Great dealREAD MORE,1
Good productREAD MORE,1
Very Good for daily use. If price was around 500. It would have been goodREAD MORE,1
Quality of the shuttle is comes downREAD MORE,0
Very nice productREAD MORE,1
GoodREAD MORE,0
Great comboREAD MORE,1
GoodREAD MORE,0
ExcellentREAD MORE,0
